A1B5C8, iguana
A1B8C6, luna
A1B9C3, corona
A2B3C7, sombra
A2B4C6, barrio
A2B7C4, boda
A2B7C5, rosa
A2B8C5, fábrica
A2B8C9, revista
A3B6C2, mosca
A3B7C2, frontera
A3B7C2, policía
A3B7C9, tomate
A3B7C9, velocidad
A3B9C1, amistad
A4B1C7, cabra
A4B1C9, justicia
A4B2C9, año
A4B6C5, hombre
A4B8C9, deuda
A5B1C6, cepillo
A5B2C8, ecuación
A5B6C2, oreja
A5B8C1, ratón
A5B9C6, monarquía
A6B2C7, queso
A6B2C8, porcentaje
A6B3C7, turismo
A6B4C1, compra
A7B2C3, farmacia
A7B3C5, península
A7B5C2, tiempo
A7B5C4, camisa
A7B5C8, arte
A7B9C1, canción
A8B1C4, nivel
A8B4C3, sílaba
A8B6C3, relámpago
A9B2C5, aluminio
A9B2C6, carrera
A9B3C6, programa
A9B4C6, béisbol
A9B4C8, norma
A9B5C2, té
A9B5C3, evolución
A9B6C4, equipo
A9B6C4, orden
A9B7C1, oso
A9B7C3, planeta
B1C4D2, presente
B1C5D7, rojo
B1C6D5, verano
B1C7D3, princesa
B1C9D4, cometa
B1C9D8, taller
B2C4D6, abeja
B2C5D1, violeta
B2C5D9, delito
B2C6D4, mineral
B2C7D6, playa
B2C9D5, molécula
B2C9X7, fresa
B3C6D5, montaña
B3C6D9, fraternidad
B3C7D8, satélite
B3C8D9, juego
B3C8D9, mercado
B3C9D2, república
B4C6D1, dios
B4C6D9, jugador
B4C8D6, nuevo
B4C9D7, ecuación
B5C2D6, ley
B5C4D3, frontera
B5C4D8, matemática
B5C7D1, literatura
B5C7D3, actor
B5C8D9, antílope
B6C1D3, cálculo
B6C2D4, anciano
B6C2D5, puerta
B6C3D7, orden
B6C4D2, enojo
B7C1D9, joven
B7C4D1, res
B7C9D6, pingüino
B8C2D1, clavo
B8C2D5, gol
B8C4D7, vacuna
B8C6D3, caldo
B9C1D6, oración
B9C2D7, reina
B9C3D5, mayo
B9C5D1, costo
B9C7D1, uniforme
C1D4E6, presión
C1D4E9, gorra
C1D7E3, derrota
C1D7E5, avión
C1D8E4, probabilidad
C1D9E7, celebración
C2D5E7, saxofón
C2D8E5, biblioteca
C2D9E5, cultura
C3D5E7, himno
C3D8E7, tortilla
C4D1E5, jirafa
C4D1E5, persona
C4D6E8, cliente
C4D9E1, volcán
C5D1E6, sábado
C5D1E7, casa
C5D3E8, juego
C5D7E1, limón
C5D7E9, paz
C5D8E1, artículo
C5D8E9, decimal
C6D2E9, búho
C6D4E3, hígado
C7D1E9, bruja
C7D2E4, isla
C7D2E6, juez
C7D3E9, ahorro
C7D5E1, cobra
C7D5E3, tejido
C7D5E9, whisky
C7D8E1, justicia
C7D9E4, ayer
C8D1E9, microscopio
C8D4E2, creación
C8D4E2, trabajo
C8D6E4, tiempo
C8D7E3, judo
C8D9E3, reloj
C9D3E1, regla
C9D3E5, tulipán
C9D3E5, vecino
C9D3E6, cebada
C9D4E1, agua
C9D5E1, medicina
C9D5E2, literatura
C9D7E3, fuego
D7E1F2, pepino
E1F4G8, vacuna
E1F4G9, pintura
E1F5G8, tenis
E1F6G4, noticia
E1F7G4, archivo
E2F5G1, zanahoria
E2F5G9, jugador
E2F6G4, pantalla
E2F6G7, ahorro
E2F8G4, pluma
E2F9G5, estrella
E3F1G8, pelo
E3F6G9, marrón
E3F7G6, número
E3F7G9, taller
E3F9G7, raíz
E4F1G9, excursión
E4F6G2, plaza
E4F7G8, historia
E4F8G7, caminata
E5F1G6, galaxia
E5F1G8, cárcel
E5F2G6, zorro
E5F2G7, regla
E5F7G3, hora
E5F8G2, clima
E5F9G1, calor
E6F2G5, aceleración
E6F2G8, pantalón
E6F4G9, espacio
E6F8G3, jugo
E6F9G2, misión
E6F9G7, oración
E7F1G3, clase
E7F2G4, república
E7F5G9, calle
E7F6G1, diamante
E7F8G4, solidaridad
E7F9G2, lagarto
E7F9G5, venta
E8F1G5, leche
E8F4G2, guitarra
E8F4G7, mosquito
E8F6G5, océano
E9F2G5, viento
E9F2G7, mujer
E9F3G6, cerdo
E9F6G1, aniversario
E9F6G2, ley
F1G6H8, hoy
F1G7H5, lámpara
F1G8H4, naturaleza
F1G8H9, órgano
F2G3H9, paz
F2G5H8, velocidad
F2G6H3, periódico
F2G6H9, mapa
F2G7H4, doctor
F2G7H4, domingo
F2G8H4, centeno
F2G8H5, fantasma
F3G2H6, cumpleaños
F3G5H6, empate
F3G6H2, vodka
F3G9H8, barco
F4G2H7, porcentaje
F4G3H1, revolución
F4G8H3, paloma
F5G3H9, empleo
F5G9H2, riñón
F6G1H2, persona
F6G1H9, pizza
F6G3H2, aire
F6G4H7, inversión
F6G8H2, borrador
F6G8H3, poesía
F6G9H1, acordeón
F6G9H5, innovación
F7G1H9, cine
F7G2H5, cereza
F7G2H6, girasol
F7G3H5, vendedor
F7G5H2, bufanda
F7G8H6, idioma
F8G1H4, abogado
F8G1H6, rana
F8G1H9, gobierno
F8G3H7, mar
F8G9H2, hombre
F9G2H7, planeta
F9G4H2, edificio
F9G5H4, experimento
F9G6H8, camello
F9G7H1, ejercicio
F9G8H1, península
G1F3D7, continente
G1F4D8, fanático
G1F5D8, fe
G1F8D2, gato
